prediction;test_price
54.12;59.83
54.26;59.44
53.99;61.3
53.86;61.89
54.56;62.47
55.32;62.11
55.73;62.02
55.65;62.09
55.34;62.77
55.19;63.2
55.31;64.5
55.73;63.68
56.24;64.55
56.11;64.74
56.39;64.5
56.84;64.43
56.6;64.01
56.83;64.12
56.75;64.51
56.88;64.32
57.52;64.36
57.15;64.5
56.75;62.77
56.65;64.11
56.05;63.88
56.37;63.35
56.49;64.47
56.59;65.45
57.38;65.44
58.06;64.97
58.5;64.61
58.39;64.72
58.2;65.38
57.92;65.62
58.13;65.19
58.62;66.54
58.21;66.16
58.59;65.94
58.82;66.29
58.31;65.34
58.2;65.41
57.64;65.65
57.74;66.8
58.0;66.47
58.64;66.9
58.84;65.92
58.79;65.89
58.15;65.88
58.05;66.73
58.29;66.87
58.58;68.33
58.77;69.05
59.61;68.51
59.98;69.35
60.08;69.89
60.53;70.62
61.27;70.36
61.72;72.14
61.61;72.3
62.42;72.18
63.13;72.03
62.76;71.75
62.56;72.24
62.47;71.18
62.7;70.88
62.33;71.34
62.29;69.34
62.22;70.45
61.25;70.29
61.48;70.23
61.43;70.01
61.23;70.22
61.63;71.27
61.91;70.78
62.4;68.82
62.35;68.37
61.24;68.97
60.27;67.5
60.44;69.29
59.99;68.71
60.42;66.23
60.27;67.24
59.17;67.91
58.75;71.51
59.16;71.61
61.2;72.92
62.04;73.62
62.75;73.73
63.31;73.72
63.73;74.98
63.82;75.31
64.26;74.64
64.73;74.94
64.56;75.83
64.11;76.4
64.77;75.91
65.3;75.78
65.29;76.16
64.78;76.47
64.54;75.2
65.01;77.33
64.62;78.24
65.26;78.87
66.08;77.8
66.66;77.57
66.04;76.7
65.96;77.01
65.44;75.64
65.12;75.77
64.59;77.02
64.48;77.59
64.84;76.2
65.61;76.47
65.04;76.04
64.88;75.22
64.5;75.28
64.16;74.4
64.11;74.27
63.94;74.75
64.18;75.77
64.43;77.19
64.76;77.29
65.94;77.31
66.75;76.11
66.8;74.88
66.19;75.3
64.79;76.15
64.34;73.35
64.78;72.88
63.95;73.45
63.29;73.49
63.53;74.71
63.28;75.7
64.06;74.86
64.95;75.19
64.71;75.25
64.77;75.32
64.93;74.03
64.78;73.61
64.39;74.42
64.37;75.08
65.28;75.29
65.61;76.0
66.33;76.86
66.82;76.68
67.04;75.98
67.12;77.22
67.24;77.55
67.36;78.0
67.67;77.68
67.91;76.58
67.31;75.85
66.02;76.08
65.39;76.7
65.66;76.74
65.83;77.78
65.6;77.93
65.96;78.85
65.78;79.25
66.29;79.11
67.15;79.52
66.8;79.5
66.6;79.75
66.31;79.38
66.98;79.72
67.44;80.23
67.47;80.07
67.64;80.89
67.95;80.2
67.8;79.79
67.58;78.36
67.95;78.36
67.29;78.83
66.62;78.7
67.07;79.09
67.11;79.27
67.16;78.38
67.79;78.32
67.37;78.24
67.04;79.4
66.87;79.92
68.0;80.72
68.55;81.14
68.91;81.83
69.1;81.8
69.49;82.18
69.43;81.94
69.7;81.25
69.48;82.54
68.95;82.2
69.62;82.23
69.64;82.1
69.83;81.53
69.96;80.77
69.59;80.47
68.87;81.21
68.81;81.14
68.33;81.58
68.07;81.42
68.14;82.14
68.26;81.6
68.45;82.47
68.83;81.57
68.91;82.53
68.06;81.27
67.93;80.8
67.4;82.56
66.65;82.09
67.42;81.94
67.28;80.92
66.93;82.19
66.12;82.8
66.61;82.53
67.48;82.9
67.31;83.85
67.61;84.49
68.06;85.14
69.16;85.26
69.89;85.02
69.88;85.53
70.59;85.63
70.96;85.53
71.05;85.19
70.9;85.52
70.88;85.39
70.62;85.06
70.23;85.93
69.57;86.06
69.69;85.3
70.1;86.06
70.39;85.7
70.83;84.79
70.48;84.72
69.97;85.14
69.6;84.86
70.25;85.25
69.95;85.43
69.98;85.48
70.13;85.49
70.05;85.63
69.98;84.5
69.74;83.57
69.32;84.65
68.71;83.34
68.79;83.98
68.35;84.06
68.7;84.25
69.01;82.79
69.4;82.13
68.91;83.7
68.08;83.81
68.71;82.44
69.24;83.38
68.87;81.11
69.26;81.64
67.89;79.41
67.57;79.62
66.29;77.68
66.17;77.35
65.33;79.33
64.35;80.93
65.27;82.84
66.38;82.43
67.84;83.27
67.98;83.85
67.88;83.7
68.09;85.1
68.37;84.73
68.67;85.38
68.54;86.48
69.31;86.79
69.96;85.5
70.15;86.12
69.6;87.06
68.95;85.17
69.45;84.96
68.2;85.15
67.94;85.08
67.8;85.63
67.68;85.93
67.98;85.56
68.43;85.44
